array,label,row,col,x,y,Power_uW,crop_file
239 42 CC,B02,1,2,493,506,38.619,239 42 CC\B2_38.619uW.png
239 42 CC,E01,1,5,1001,408,44.194,239 42 CC\E1_44.194uW.png
239 42 CC,G01,1,7,1341,401,44.937,239 42 CC\G1_44.937uW.png
239 42 CC,K01,1,11,2021,387,41.061,239 42 CC\K1_41.061uW.png
239 42 CC,O01,1,14,2700,373,42.744,239 42 CC\O1_42.744uW.png
239 42 CC,S01,1,18,3380,360,44.516,239 42 CC\S1_44.516uW.png
239 42 CC,U01,1,20,3721,353,44.06,239 42 CC\U1_44.06uW.png
239 42 CC,X02,1,23,4233,429,44.651,239 42 CC\X2_44.651uW.png
239 42 CC,C07,4,3,674,1004,42.69,239 42 CC\C7_42.69uW.png
239 42 CC,I07,4,9,1694,983,43.012,239 42 CC\I7_43.012uW.png
239 42 CC,Q07,4,16,3054,955,44.722,239 42 CC\Q7_44.722uW.png
239 42 CC,W07,4,22,4074,934,44.006,239 42 CC\W7_44.006uW.png
239 42 CC,A13,7,1,346,1599,43.487,239 42 CC\A13_43.487uW.png
239 42 CC,E13,7,5,1025,1585,44.454,239 42 CC\E13_44.454uW.png
239 42 CC,G13,7,7,1365,1578,44.507,239 42 CC\G13_44.507uW.png
239 42 CC,K13,7,11,2045,1564,45.94,239 42 CC\K13_45.94uW.png
239 42 CC,O13,7,14,2724,1550,43.236,239 42 CC\O13_43.236uW.png
239 42 CC,S13,7,18,3404,1536,43.37,239 42 CC\S13_43.37uW.png
239 42 CC,U13,7,20,3745,1529,45.107,239 42 CC\U13_45.107uW.png
239 42 CC,Y13,7,24,4425,1515,45.796,239 42 CC\Y13_45.796uW.png
239 42 CC,A21,10,1,362,2384,42.923,239 42 CC\A21_42.923uW.png
239 42 CC,E21,10,5,1041,2370,45.277,239 42 CC\E21_45.277uW.png
239 42 CC,G21,10,7,1381,2363,44.964,239 42 CC\G21_44.964uW.png
239 42 CC,K21,10,11,2061,2349,45.286,239 42 CC\K21_45.286uW.png
239 42 CC,O21,10,14,2741,2335,45.053,239 42 CC\O21_45.053uW.png
239 42 CC,S21,10,18,3420,2321,44.033,239 42 CC\S21_44.033uW.png
239 42 CC,U21,10,20,3761,2314,46.342,239 42 CC\U21_46.342uW.png
239 42 CC,Y21,10,24,4441,2300,46.253,239 42 CC\Y21_46.253uW.png
239 42 CC,C27,13,3,714,2965,45.573,239 42 CC\C27_45.573uW.png
239 42 CC,I27,13,9,1734,2944,45.018,239 42 CC\I27_45.018uW.png
239 42 CC,Q27,13,16,3094,2916,44.015,239 42 CC\Q27_44.015uW.png
239 42 CC,W27,13,22,4114,2895,44.275,239 42 CC\W27_44.275uW.png
239 42 CC,B32,16,2,553,3448,42.833,239 42 CC\B32_42.833uW.png
239 42 CC,E33,16,5,1065,3546,42.484,239 42 CC\E33_42.484uW.png
239 42 CC,G33,16,7,1405,3539,41.473,239 42 CC\G33_41.473uW.png
239 42 CC,K33,16,11,2085,3526,45.555,239 42 CC\K33_45.555uW.png
239 42 CC,O33,16,14,2765,3512,46.092,239 42 CC\O33_46.092uW.png
239 42 CC,S33,16,18,3444,3498,41.258,239 42 CC\S33_41.258uW.png
239 42 CC,U33,16,20,3785,3491,43.326,239 42 CC\U33_43.326uW.png
239 42 CC,X32,16,23,4293,3371,44.328,239 42 CC\X32_44.328uW.png
