array,label,row,col,x,y,Power_uW,crop_file
245 25 CB,B02,1,2,399,435,53.853,245 25 CB\B2_53.853uW.png
245 25 CB,E01,1,5,908,325,53.96,245 25 CB\E1_53.96uW.png
245 25 CB,G01,1,7,1249,317,52.778,245 25 CB\G1_52.778uW.png
245 25 CB,K01,1,11,1927,302,55.723,245 25 CB\K1_55.723uW.png
245 25 CB,O01,1,14,2606,288,56.305,245 25 CB\O1_56.305uW.png
245 25 CB,S01,1,18,3286,272,54.094,245 25 CB\S1_54.094uW.png
245 25 CB,U01,1,20,3626,265,55.446,245 25 CB\U1_55.446uW.png
245 25 CB,X02,1,23,4139,351,54.246,245 25 CB\X2_54.246uW.png
245 25 CB,C07,4,3,582,940,54.372,245 25 CB\C7_54.372uW.png
245 25 CB,I07,4,9,1601,915,51.65,245 25 CB\I7_51.65uW.png
245 25 CB,Q07,4,16,2961,887,55.365,245 25 CB\Q7_55.365uW.png
245 25 CB,W07,4,22,3981,865,52.385,245 25 CB\W7_52.385uW.png
245 25 CB,A13,7,1,256,1518,53.459,245 25 CB\A13_53.459uW.png
245 25 CB,E13,7,5,933,1502,52.25,245 25 CB\E13_52.25uW.png
245 25 CB,G13,7,7,1273,1494,53.969,245 25 CB\G13_53.969uW.png
245 25 CB,K13,7,11,1954,1479,54.22,245 25 CB\K13_54.22uW.png
245 25 CB,O13,7,14,2632,1464,53.468,245 25 CB\O13_53.468uW.png
245 25 CB,S13,7,18,3312,1449,53.369,245 25 CB\S13_53.369uW.png
245 25 CB,U13,7,20,3651,1441,53.665,245 25 CB\U13_53.665uW.png
245 25 CB,Y13,7,24,4332,1426,53.486,245 25 CB\Y13_53.486uW.png
245 25 CB,O19,9,14,2646,2052,49.135,245 25 CB\O19_49.135uW.png
245 25 CB,A21,10,1,273,2302,54.184,245 25 CB\A21_54.184uW.png
245 25 CB,E21,10,5,951,2286,54.023,245 25 CB\E21_54.023uW.png
245 25 CB,G21,10,7,1291,2278,53.888,245 25 CB\G21_53.888uW.png
245 25 CB,K21,10,11,1971,2263,54.148,245 25 CB\K21_54.148uW.png
245 25 CB,S21,10,18,3330,2234,48.419,245 25 CB\S21_48.419uW.png
245 25 CB,U21,10,20,3670,2226,53.441,245 25 CB\U21_53.441uW.png
245 25 CB,Y21,10,24,4350,2210,52.743,245 25 CB\Y21_52.743uW.png
245 25 CB,C27,13,3,626,2899,54.891,245 25 CB\C27_54.891uW.png
245 25 CB,I27,13,9,1644,2875,49.869,245 25 CB\I27_49.869uW.png
245 25 CB,Q27,13,16,3007,2847,49.583,245 25 CB\Q27_49.583uW.png
245 25 CB,W27,13,22,4025,2823,51.131,245 25 CB\W27_51.131uW.png
245 25 CB,B32,16,2,464,3377,54.363,245 25 CB\B32_54.363uW.png
245 25 CB,E33,16,5,978,3463,54.408,245 25 CB\E33_54.408uW.png
245 25 CB,G33,16,7,1319,3456,54.282,245 25 CB\G33_54.282uW.png
245 25 CB,K33,16,11,1997,3440,54.354,245 25 CB\K33_54.354uW.png
245 25 CB,O33,16,14,2677,3425,53.826,245 25 CB\O33_53.826uW.png
245 25 CB,S33,16,18,3357,3411,54.551,245 25 CB\S33_54.551uW.png
245 25 CB,T32,16,19,3523,3289,54.309,245 25 CB\T32_54.309uW.png
245 25 CB,X32,16,23,4204,3294,50.003,245 25 CB\X32_50.003uW.png
